OTU;Size;regnum;phylum;classis;ordo;familia;genus;RT1;RB1;LT1;LB1;VAG1;BLANK1;CTR1;BLANK2;RT2;RB2;LT2;LB2;VAG2;CTR2;RT3;RB3;LT3;LB3;VAG3;CTR3;BLANK3;RT4;RB4;LT4;LB4;VAG4;RT5;RB5;LT5;LB5;VAG5
Otu0001;113636;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;7;4;2;0;17;0;1;0;0;0;8175;49192;1;15;8;0;46785;241;20;459;8214;99;179;112;1;0;1;41;0;14;48
Otu0002;81599;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;1;0;0;0;0;0;0;0;0;31694;34230;0;30;1;0;14152;2;16;131;1295;0;42;0;1;0;0;0;0;4;0
Otu0003;64776;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0;0;0;0;0;0;492;0;25;0;0;0;2;60005;0;0;0;0;4;4167;0;0;0;0;0;1;0;0;0;80;0
Otu0004;31879;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Rhodococcus;0;2;0;0;0;0;1;0;0;1;26387;2450;2;0;0;0;3019;0;0;15;0;0;0;0;0;0;0;0;0;2;0
Otu0005;22502;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales_unclassified;Rhizobiales_unclassified;1;3;0;0;0;0;0;0;0;0;4277;5204;0;3;0;0;11855;1;17;70;946;0;97;0;0;0;1;0;1;1;25
Otu0006;16285;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;0;0;0;0;0;0;1;0;0;1;305;7062;0;4;0;0;7926;1;0;33;854;0;0;0;96;0;0;0;0;2;0
Otu0007;13351;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;43;0;0;123;31;478;1596;10273;0;0;0;0;31;81;45;59;0;72;0;48;0;199;33;0;0;0;13;180;0;39;7
Otu0008;12886;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter;0;0;1;0;0;0;0;0;0;0;10963;799;0;72;0;0;586;0;0;4;372;0;0;0;89;0;0;0;0;0;0
Otu0009;12002;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga;0;1;0;0;0;0;0;0;0;0;8625;1434;1;0;0;0;1475;0;0;0;464;0;0;0;0;0;1;0;0;1;0
Otu0010;10229;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus;0;0;0;0;974;0;0;0;0;0;0;0;0;128;0;0;0;1;0;86;0;0;0;0;0;0;0;0;0;114;8926
Otu0011;8513;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chloroplast_fa;Chloroplast_ge;77;93;203;230;120;671;1313;1325;222;270;1;26;150;33;244;256;20;199;61;51;1493;148;205;150;233;98;206;214;97;68;36
Otu0012;7636;Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;0;0;0;0;0;0;0;0;0;0;5068;1052;10;0;0;0;1474;1;0;31;0;0;0;0;0;0;0;0;0;0;0
Otu0013;6922;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomonas;0;0;0;0;0;0;0;0;0;0;5163;397;24;0;0;0;545;1;0;10;781;0;0;0;0;0;0;0;0;1;0
Otu0014;6401;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0;2;0;0;0;191;5873;0;0;0;0;0;0;299;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;1;1
Otu0015;6257;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;6165;0;0;0;1;87
Otu0016;5924;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylomonas;0;0;0;0;0;0;0;0;0;0;4226;667;0;0;0;0;634;0;0;35;362;0;0;0;0;0;0;0;0;0;0
Otu0017;5887;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;0;0;0;0;0;0;0;0;0;0;5039;359;0;68;0;0;297;0;0;100;0;0;24;0;0;0;0;0;0;0;0
Otu0018;4907;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;0;50;0;1;164;0;421;0;0;0;0;0;73;3;0;0;0;0;1062;48;0;0;0;0;0;2294;0;0;0;404;387
Otu0019;4566;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;8;34;0;0;32;462;0;0;40;605;527;107;40;187;0;1;50;33;0;74;2235;0;0;0;83;34;0;12;0;2;0
Otu0020;4482;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;0;0;0;0;0;0;4478;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Otu0021;4409;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Dermacoccus;0;0;0;0;0;0;0;0;0;0;3173;937;0;0;0;0;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0022;4282;Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;0;0;0;0;0;0;0;0;0;0;3053;678;0;0;0;0;551;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0023;4164;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;0;30;0;0;0;0;0;0;0;0;0;6;3521;20;1;1;0;0;12;483;1;0;0;15;0;0;45;0;0;29;0
Otu0024;4039;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0;0;0;0;21;0;3982;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0025;4021;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;3972;0;0;0;0;0
Otu0026;3672;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;0;0;0;0;0;0;0;0;0;0;2594;602;0;2;0;0;452;0;0;20;0;0;0;0;0;0;0;0;0;2;0
Otu0027;3640;Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;0;0;0;1;809;0;0;0;0;0;0;0;0;22;0;0;0;0;0;20;0;0;0;0;0;614;0;0;0;42;2132
Otu0028;3359;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;0;0;0;0;23;0;0;3109;0;0;0;4;0;0;84;0;0;123;0;1;0;0;0;0;0;0;0;0;0;0;15
Otu0029;3192;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Xanthobacter;1;0;0;0;0;0;0;0;0;0;2454;166;0;1;0;0;137;0;0;24;408;0;0;0;0;0;0;0;0;1;0
Otu0030;2864;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;0;0;0;0;0;0;2851;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Otu0031;2797;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;0;0;0;0;0;0;0;2796;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Otu0032;2783;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacteriaceae_unclassified;0;0;0;41;0;0;0;0;0;0;0;0;0;129;1;0;0;488;0;171;1232;0;57;1;587;0;45;30;0;1;0
Otu0033;2548;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium;0;0;0;0;0;0;0;0;40;0;0;20;0;322;0;0;10;605;0;174;606;0;19;0;635;0;111;0;0;0;6
Otu0034;2545;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;0;0;0;0;0;238;572;0;0;0;1437;165;0;42;0;0;78;0;0;13;0;0;0;0;0;0;0;0;0;0;0
Otu0035;2485;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2484;0;0;0;0;0
Otu0036;2379;Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter;0;0;0;0;0;0;2379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0037;2342;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloparacoccus;0;0;0;0;0;0;0;0;0;0;882;758;0;0;0;0;702;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0038;2214;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;1;0;0;0;0;0;0;0;0;0;657;746;0;0;0;0;549;0;0;0;261;0;0;0;0;0;0;0;0;0;0
Otu0039;2201;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;0;0;0;0;0;0;2193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
Otu0040;2137;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;0;0;1;0;0;0;2136;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0041;2040;Bacteria;Firmicutes;Bacilli;Staphylococcales;Gemellaceae;Gemella;0;0;0;0;22;238;298;1270;0;0;0;0;42;16;0;0;0;0;0;12;0;0;0;43;0;0;0;89;0;0;10
Otu0042;2071;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;0;0;0;0;33;0;1585;0;0;0;227;67;0;8;0;0;92;0;6;43;0;0;0;0;0;10;0;0;0;0;0
Otu0043;1816;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;1;158;9;286;15;0;1;290;1;204;27;43;13;11;67;77;81;24;29;6;0;0;40;59;158;16;38;131;1;24;6
Otu0044;1874;Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Nonomuraea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1873;0;0;0;0;0;1;0;0;0;0
Otu0045;1758;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia;0;0;0;0;250;0;372;0;0;0;0;0;0;46;0;0;0;0;106;483;0;0;0;0;0;142;0;0;0;71;288
Otu0046;1731;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;0;0;46;1;0;1571;0;0;0;0;0;0;76;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0
Otu0047;1583;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;0;0;0;242;0;264;0;247;0;58;0;0;0;0;214;0;0;0;0;0;475;0;83;0;0;0;0;0;0;0;0
Otu0048;1573;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;0;0;0;0;0;0;1573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0049;1510;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;0;0;0;0;0;0;697;0;0;0;5;187;0;17;0;0;174;0;0;23;407;0;0;0;0;0;0;0;0;0;0
Otu0050;1506;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;0;0;0;0;68;0;888;0;0;0;0;0;0;19;0;0;0;0;57;209;0;0;0;0;0;120;0;0;0;2;143
Otu0051;1493;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae_unclassified;0;0;0;0;18;0;0;0;0;0;0;0;0;1;0;0;0;0;223;2;0;0;0;0;0;1073;0;0;0;97;79
Otu0052;1416;Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1370;0;0;0;3;43
Otu0053;1337;Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Cutibacterium;0;15;5;0;0;501;20;25;34;0;10;2;0;50;0;20;0;10;7;106;480;1;0;17;1;2;22;0;7;2;0
Otu0054;1343;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;0;0;0;0;0;0;1343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0055;1305;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;49;25;17;35;18;12;625;13;6;19;40;50;46;25;60;28;40;21;23;25;33;15;21;1;7;5;4;6;4;19;13
Otu0056;1302;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;0;0;0;0;0;0;1169;0;0;0;84;22;0;2;1;0;3;0;0;21;0;0;0;0;0;0;0;0;0;0;0
Otu0057;1206;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;0;0;0;0;0;0;0;0;0;0;1060;67;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0058;1196;Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Effusibacillus;0;0;0;0;0;265;721;210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0059;1161;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;0;0;0;1;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;56;1074;0;0;0;0;0;0;0;0;0;0
Otu0060;1129;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;0;0;0;0;0;0;0;1129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0061;1123;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;0;0;0;0;0;1078;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0062;1093;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;0;0;0;0;0;0;1093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0063;1070;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Mitochondria_ge;28;0;38;34;0;563;0;0;0;0;0;3;0;7;1;0;2;0;14;0;226;79;0;38;0;4;15;0;18;0;0
Otu0064;1030;Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;0;41;0;0;0;0;167;616;0;0;0;0;0;0;0;0;0;71;0;20;0;50;0;0;0;0;0;0;64;1;0
Otu0065;985;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;39;0;93;0;1;0;0;201;0;0;0;0;0;0;0;0;0;0;0;24;532;0;0;0;0;0;91;0;0;4;0
Otu0066;979;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;0;0;0;0;0;0;979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0067;931;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcales-Tissierellales_fa;Peptoniphilus;0;0;0;0;0;0;293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;551;0;63;0;0;24
Otu0068;973;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;971;0;0;0;0;0;0;0;0;0;0
Otu0069;972;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;0;0;0;0;0;0;971;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0070;966;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter;0;0;0;0;0;281;406;0;1;0;1;0;0;22;1;0;0;0;0;11;205;0;0;0;38;0;0;0;0;0;0
Otu0071;952;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae_R-7_group;0;0;0;0;0;0;862;0;0;0;0;0;0;1;0;0;0;0;4;31;0;0;0;0;0;54;0;0;0;0;0
Otu0072;931;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paeniclostridium;0;0;0;0;187;0;0;0;0;0;0;0;0;97;0;0;0;0;0;113;0;0;0;0;0;91;0;0;0;7;436
Otu0073;912;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;0;0;0;0;0;0;0;912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0074;869;Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014_fa;Clostridia_UCG-014_ge;0;0;0;0;0;0;0;869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0075;865;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacteriaceae_unclassified;1;1;0;0;0;1;861;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0076;771;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;677;0;0;0;94;0
Otu0077;752;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Rheinheimera;0;0;1;0;0;0;751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0078;747;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;0;0;0;0;0;404;213;0;0;0;0;0;0;87;0;38;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
Otu0079;728;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;0;0;1;0;0;488;3;31;0;0;5;17;0;0;0;1;29;0;0;0;0;78;0;0;0;0;75;0;0;0;0
Otu0080;720;Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Jeotgalicoccus;0;0;0;0;18;0;0;0;0;0;0;0;0;39;0;0;0;0;0;2;598;0;0;0;0;63;0;0;0;0;0
Otu0081;707;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;0;0;0;0;0;0;707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0082;618;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium;0;0;0;0;0;0;0;0;37;0;0;0;0;242;0;0;0;0;18;91;230;0;0;0;0;0;0;0;0;0;0
Otu0083;664;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;Beijerinckiaceae_unclassified;0;0;0;0;0;0;664;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0084;652;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales_RF16_group;Bacteroidales_RF16_group_ge;0;0;0;0;0;0;0;0;0;0;0;0;20;1;0;0;0;0;284;1;0;0;0;0;0;194;0;0;0;70;82
Otu0085;648;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptostreptococcaceae_unclassified;0;0;0;0;26;0;0;0;0;0;0;0;0;44;0;0;0;0;57;188;0;0;0;0;0;197;0;0;0;3;133
Otu0086;640;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Rothia;0;0;0;0;12;0;0;545;0;21;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;47;0;0;0
Otu0087;616;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Blastomonas;0;0;0;0;0;0;616;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0088;612;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;0;0;0;0;23;0;0;0;0;0;0;0;32;0;0;0;0;0;122;0;0;0;0;0;0;380;0;0;0;9;46
Otu0089;602;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;0;0;0;0;0;0;602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0090;602;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Rheinheimera;0;0;0;0;0;0;602;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0091;583;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae_UCG-003;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;512;0;0;0;53;0
Otu0092;577;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;11;1;0;0;0;0;0;0;0;0;18;236;0;1;0;0;215;0;0;0;26;0;2;1;0;0;65;0;0;1;0
Otu0093;568;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;0;0;0;0;0;0;563;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0094;555;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;0;0;0;0;0;555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0095;555;Bacteria;Firmicutes;Clostridia;Clostridiales;Caloramatoraceae;Fonticella;0;0;0;0;0;0;555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0096;552;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas;0;0;0;0;0;0;483;0;0;0;0;0;38;25;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
Otu0097;552;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;551;0;0;1;0;0
Otu0098;546;Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;0;0;0;0;0;0;534;0;0;0;0;0;0;2;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
Otu0099;539;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;Chloroplast_fa;Chloroplast_ge;0;0;0;0;0;0;515;0;0;0;0;0;0;1;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0
Otu0100;538;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadales_fa;Saccharimonadales_ge;0;0;0;0;0;0;0;538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0101;535;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus;0;0;0;0;0;0;534;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0102;530;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;0;0;0;0;0;0;530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0103;521;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;1;0;0;0;0;0;0;0;0;1;2;0;0;0;2;0;0;0;1;507;0;0;1;0;0;0;5;1;0;0
Otu0104;508;Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;494;0;0;0;0;0;0;0;0;0;0
Otu0105;504;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacteraceae_unclassified;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;0;0;0;0;112;271;0;0;20;0;0;0;0;0;0;0
Otu0106;503;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;0;0;0;0;0;0;0;0;0;0;0;0;454;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0
Otu0107;502;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;0;0;0;0;0;0;502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0108;499;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;140;1;0;0;0;0;0;169;0;0;0;120;68
Otu0109;498;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;0;0;0;0;0;498;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0110;495;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacteraceae_ge;0;0;0;0;0;0;495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0111;494;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;1;480;0;0;0;0;0;0;0;0;0;0
Otu0112;489;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Shinella;0;0;0;0;0;0;0;0;0;0;6;252;0;0;0;0;231;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Otu0113;487;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;0;0;0;0;0;487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
